FROM,TO,TIME,AIRLINE
CDG,MAD,11:55,UAL
JFK,ORD,15:45,DLH
PEK,CPT,16:10,AAL
CPT,ATL,16:25,ANA
MXP,DFW,18:15,AFL
SIN,LAX,15:20,AFL
ZRH,PVG,14:35,DLH
SIN,DXB,01:25,SWR
NRT,DXB,00:35,DLH
PEK,CPT,01:25,UAL
ORD,AMS,17:00,AAL
PVG,NRT,14:40,BAW
PEK,MAD,18:50,WZZ
LHR,FCO,18:15,RYR
FCO,CPT,15:25,WZZ
MAD,FRA,14:45,AFL
FCO,MXP,11:20,BAW
JFK,PVG,16:20,ANA
FCO,LAX,03:45,AEE
ORD,MXP,03:25,MAS
HND,ORD,21:20,IBE
DFW,MXP,00:00,RYR
LHR,FRA,03:35,FIN
PVG,DXB,19:00,LOT
SIN,AMS,11:55,AEE
PVG,FCO,07:25,AAL
MXP,JFK,12:00,FIN
MXP,AMS,23:30,MAS
NRT,CPT,01:45,AFL
AMS,ATL,19:35,LOT
AMS,FRA,17:25,ANA
HND,MAD,17:50,WZZ
SIN,PEK,23:25,FIN
PVG,MAD,21:15,UAL
ORD,PVG,17:15,AEE
CDG,JFK,18:15,AFR
NRT,AMS,05:05,AFL
PVG,JFK,00:25,AZA
HND,PEK,11:45,DLH
LAX,FCO,00:45,ANA
DFW,CDG,09:00,IBE
AMS,PVG,02:50,ANA
FRA,ZRH,10:20,KLM
ATL,LAX,10:40,RYR
SIN,FCO,12:15,LOT
AMS,LAX,02:10,AEE
CDG,JFK,03:40,IBE
CPT,MAD,05:45,MAS
DXB,JFK,21:20,AAL
FCO,MXP,11:00,DLH
LAX,FCO,08:35,AFR
ORD,DXB,12:10,RYR
ZRH,LHR,06:35,AEE
NRT,LHR,16:10,IBE
AMS,DXB,01:30,AFL
LHR,ATL,22:30,BAW
CDG,ORD,00:30,LOT
ORD,DXB,17:05,AEE
LAX,SIN,02:00,BAW
ATL,MAD,18:05,DLH
MAD,PEK,20:05,UAL
PEK,SIN,14:45,ANA
ZRH,SIN,22:45,AFR
CPT,FCO,04:20,DLH
PVG,LAX,10:45,LOT
DXB,LAX,13:05,IBE
FCO,SIN,00:45,KLM
CDG,DFW,04:40,WZZ
DFW,FCO,10:40,LOT
DFW,NRT,08:15,MAS
PEK,CPT,20:25,UAL
FCO,MXP,21:25,LOT
FRA,ORD,20:25,LOT
CDG,PEK,14:30,AAL
ZRH,HND,12:00,WZZ
AMS,ATL,03:40,BAW
NRT,PEK,00:35,LOT
PVG,HND,02:50,FIN
LHR,CDG,13:35,AFL
FCO,NRT,04:40,UAL
PEK,FCO,16:50,ANA
LHR,ORD,04:40,FIN
MXP,FRA,03:20,DLH
SIN,FCO,17:50,ANA
SIN,PEK,22:50,SWR
MXP,CPT,16:50,LOT
PEK,FRA,02:20,FIN
FRA,PVG,13:20,ANA
DXB,ATL,05:35,RYR
SIN,MXP,21:20,LOT
LHR,CDG,02:50,LOT
NRT,LHR,00:50,SWR
NRT,LHR,23:25,AAL
MXP,ORD,14:55,AFR
DXB,CPT,08:35,AFR
ORD,JFK,07:15,SWR
SIN,DFW,13:20,BAW
LHR,MXP,15:45,MAS
AMS,HND,20:10,AEE
MAD,NRT,20:20,FIN
ZRH,FCO,20:00,AFR
MXP,MAD,18:00,UAL
PVG,DXB,09:50,UAL
PEK,ZRH,07:20,AAL
HND,AMS,03:20,LOT
SIN,ORD,20:35,AFL
ATL,PEK,07:10,FIN
DXB,AMS,17:50,LOT
CDG,DFW,06:50,DLH
NRT,JFK,14:45,RYR
LHR,DFW,16:40,LOT
MXP,HND,17:55,AFL
JFK,HND,23:50,DLH
AMS,PVG,18:00,WZZ
PEK,FCO,13:10,ANA
PVG,LAX,22:15,ANA
ATL,ZRH,07:35,KLM
FRA,LAX,14:05,AFL
PVG,DFW,13:15,AFR
FCO,DFW,15:00,AEE
NRT,ZRH,14:25,ANA
PVG,DFW,12:35,LOT
AMS,ORD,00:20,DLH
LAX,FRA,09:15,UAL
PVG,SIN,19:40,IBE
FRA,FCO,05:10,UAL
ATL,SIN,04:05,AZA
HND,PVG,18:55,LOT
LAX,ZRH,22:00,WZZ
MAD,ORD,00:10,IBE
ZRH,ATL,23:50,DLH
SIN,ZRH,17:00,AFR
DFW,PVG,02:20,MAS
CDG,DXB,20:50,MAS
DXB,HND,13:10,LOT
DFW,JFK,05:05,KLM
ORD,ATL,05:30,MAS
MXP,JFK,23:45,ANA
DFW,PVG,05:00,MAS
ATL,FCO,07:10,FIN
ZRH,NRT,18:05,AZA
FCO,LHR,22:05,UAL
HND,ATL,08:45,AEE
MAD,CDG,23:25,ANA
HND,NRT,08:10,LOT
JFK,MXP,18:15,KLM
ZRH,ATL,09:05,ANA
SIN,ZRH,12:00,LOT
ZRH,CPT,20:40,BAW
FCO,MAD,06:05,FIN
CPT,MAD,10:25,DLH
PVG,LHR,23:30,UAL
FRA,PVG,07:20,AFR
CPT,NRT,13:50,AEE
ORD,SIN,00:45,WZZ
PEK,MAD,09:40,KLM
FCO,MAD,23:45,RYR
ZRH,CPT,02:10,UAL
LAX,PVG,03:40,AFL
ORD,JFK,19:25,AFR
FRA,HND,08:10,SWR
JFK,LHR,09:40,BAW
DXB,LHR,21:20,AEE
ZRH,MAD,02:35,BAW
ATL,ZRH,06:35,AAL
HND,DFW,05:25,AFR
MXP,PVG,16:10,SWR
DXB,PEK,23:30,AFL
PVG,AMS,14:30,ANA
CDG,FCO,07:05,BAW
NRT,FRA,05:00,FIN
CPT,CDG,01:20,WZZ
HND,PEK,20:45,RYR
CDG,MAD,14:15,SWR
LHR,SIN,22:45,AAL
ATL,FRA,17:40,SWR
LAX,SIN,16:50,WZZ
DFW,ATL,07:25,MAS
ZRH,PEK,18:30,AFL
AMS,CDG,17:45,WZZ
PVG,LHR,15:30,MAS
AMS,MXP,08:30,BAW
AMS,JFK,07:45,RYR
CDG,DXB,02:45,AFR
DFW,JFK,06:25,WZZ
JFK,PEK,01:15,FIN
LHR,ORD,01:50,MAS
DFW,CPT,06:15,AZA
JFK,LAX,21:35,IBE
FCO,AMS,15:35,AZA
HND,LAX,00:35,IBE
HND,FRA,18:20,FIN
CDG,DXB,04:00,AEE
SIN,DXB,08:00,AFL
ZRH,DXB,21:40,AZA
NRT,PEK,03:00,AAL
LHR,JFK,20:30,KLM
FRA,PEK,06:05,WZZ
JFK,CDG,21:55,WZZ
AMS,PVG,05:35,WZZ
LHR,ATL,02:55,BAW
HND,MXP,05:00,SWR
NRT,AMS,03:15,RYR
LHR,ORD,06:35,SWR
FRA,CDG,05:35,AZA
CDG,ATL,15:10,WZZ
ORD,AMS,11:15,AEE
HND,DFW,13:55,AFL
PVG,FRA,03:35,BAW
HND,PVG,10:05,DLH
PEK,HND,01:05,LOT
MXP,ATL,15:15,RYR
PEK,SIN,09:00,MAS
CPT,CDG,18:15,AAL
ORD,ZRH,20:45,BAW
NRT,PVG,10:50,RYR
HND,NRT,12:50,AEE
HND,ZRH,20:55,AFL
DFW,PEK,08:50,AZA
FRA,HND,11:40,FIN
ORD,PEK,15:45,RYR
SIN,MXP,12:20,AAL
NRT,MAD,21:20,BAW
LAX,CPT,02:05,ANA
ATL,CDG,13:10,SWR
SIN,CDG,09:10,KLM
MAD,FCO,20:40,AEE
MXP,ORD,17:05,AEE
FRA,PEK,16:50,RYR
CDG,JFK,02:15,AFL
CDG,NRT,06:05,FIN
HND,MXP,04:20,DLH
JFK,ZRH,04:15,DLH
MAD,LAX,14:30,AZA
MXP,FCO,11:25,AFR
AMS,FCO,04:50,WZZ
ATL,NRT,20:25,AFR
DFW,PEK,00:25,WZZ
AMS,ORD,01:20,MAS
AMS,PEK,00:00,KLM
MAD,NRT,00:40,AEE
DXB,ORD,12:55,AAL
ORD,JFK,10:55,ANA
CPT,FCO,11:35,RYR
FRA,NRT,19:40,AAL
MAD,SIN,12:40,AFL
NRT,ORD,09:25,ANA
CPT,LHR,09:05,WZZ
ZRH,NRT,01:30,AZA
CDG,SIN,10:15,MAS
SIN,CPT,18:15,MAS
LAX,SIN,17:15,AAL
LHR,AMS,07:25,AFL
JFK,ORD,03:35,KLM
FRA,CDG,11:10,AFL
LHR,CDG,14:30,DLH
HND,MAD,02:45,RYR
HND,AMS,11:10,BAW
CPT,AMS,11:10,FIN
DFW,FRA,13:55,KLM
NRT,MXP,12:35,AEE
LHR,SIN,19:50,AFL
DFW,FRA,02:25,KLM
LHR,CPT,16:20,RYR
MXP,LHR,05:45,RYR
ZRH,ORD,09:40,FIN
CDG,AMS,08:25,AFR
LAX,DFW,04:00,LOT
DFW,MAD,20:45,KLM
DXB,MAD,15:00,AEE
ZRH,JFK,06:30,AFL
PVG,FRA,03:55,AZA
LAX,JFK,11:15,RYR
ATL,MAD,02:45,FIN
LHR,CDG,19:50,AEE
ATL,AMS,17:50,FIN
SIN,ZRH,15:35,UAL
MXP,JFK,22:00,FIN
LAX,MXP,00:40,DLH
DFW,PEK,01:45,AZA
LAX,AMS,00:55,AEE
DXB,LAX,18:40,BAW
SIN,DFW,07:15,MAS
MAD,LAX,14:30,AZA
LAX,FCO,04:50,DLH
DXB,CDG,20:45,AAL
FCO,PVG,12:20,WZZ
CPT,FRA,13:20,UAL
MAD,HND,19:50,KLM
CDG,FRA,04:25,RYR
ORD,ZRH,21:25,AAL
PVG,DXB,04:35,AEE
ATL,JFK,14:45,KLM
LHR,SIN,09:25,AZA
JFK,PEK,05:10,MAS
ATL,LAX,15:10,AEE
AMS,ATL,21:30,AAL
FRA,JFK,09:20,DLH
NRT,DFW,09:10,AZA
CPT,NRT,17:45,LOT
PEK,ORD,22:10,SWR
FCO,LAX,14:15,WZZ
PVG,AMS,16:55,IBE
CPT,ZRH,05:40,WZZ
CDG,PVG,06:45,WZZ
SIN,ORD,00:35,AFR
ORD,MXP,17:55,SWR
AMS,ORD,23:20,FIN
ZRH,ORD,10:00,AFL
NRT,MXP,13:35,LOT
MAD,NRT,01:20,UAL
ORD,FCO,23:50,ANA
MXP,JFK,17:05,MAS
AMS,ZRH,10:50,RYR
SIN,PEK,11:15,ANA
ORD,MXP,06:30,BAW
JFK,FRA,00:05,AFR
LHR,HND,12:50,RYR
PVG,AMS,09:15,IBE
LAX,JFK,02:50,AAL
NRT,HND,09:20,KLM
ATL,ZRH,12:45,DLH
LHR,HND,07:35,IBE
CDG,DXB,10:05,UAL
MAD,ORD,11:35,FIN
PVG,LHR,17:50,AZA
LHR,JFK,12:50,AFR
PEK,DFW,22:05,FIN
HND,NRT,10:35,AEE
LHR,LAX,10:00,LOT
LAX,CDG,00:40,KLM
FRA,DXB,01:00,RYR
FRA,SIN,15:40,AEE
MAD,PEK,03:10,DLH
AMS,SIN,03:35,FIN
CPT,AMS,00:25,AFL
JFK,MXP,10:20,IBE
PVG,MAD,19:40,FIN
PVG,JFK,03:45,LOT
ORD,ZRH,19:25,BAW
AMS,PEK,20:35,MAS
AMS,DFW,08:05,DLH
DFW,NRT,15:55,DLH
SIN,PEK,11:50,ANA
LAX,PEK,18:00,BAW
ORD,PEK,10:20,FIN
CPT,JFK,07:10,AFL
AMS,MAD,04:00,AFR
FCO,MXP,23:15,BAW
SIN,ZRH,09:10,AZA
ORD,PVG,12:45,DLH
HND,LHR,12:15,DLH
CDG,SIN,09:50,FIN
LAX,ATL,07:10,UAL
SIN,HND,20:05,MAS
DFW,FRA,21:35,DLH
HND,LAX,13:50,RYR
JFK,AMS,10:55,LOT
ATL,SIN,15:35,FIN
AMS,CDG,00:00,AAL
SIN,LAX,00:25,AAL
CDG,CPT,06:45,SWR
CPT,SIN,02:45,IBE
CDG,AMS,00:40,FIN
SIN,CPT,02:25,MAS
PVG,CPT,06:15,IBE
ATL,NRT,18:15,DLH
MAD,FRA,06:05,IBE
ORD,NRT,01:40,SWR
ATL,PEK,17:20,WZZ
ATL,PVG,13:05,AFR
CDG,PEK,16:45,IBE
FRA,PEK,04:10,UAL
MAD,CPT,07:15,AFL
MXP,HND,13:15,WZZ
JFK,DFW,01:45,MAS
CDG,LAX,00:25,LOT
FCO,PVG,08:40,RYR
DXB,AMS,01:20,WZZ
PVG,MAD,09:10,AFL
ORD,LHR,18:20,AFL
MAD,LAX,13:30,AFL
DXB,AMS,04:50,KLM
HND,ZRH,16:15,LOT
AMS,PVG,03:25,AFL
LHR,DXB,19:30,MAS
HND,CPT,22:00,RYR
LAX,NRT,07:05,DLH
MXP,DFW,07:00,DLH
PVG,PEK,00:45,ANA
FRA,HND,00:40,LOT
ATL,LHR,12:30,KLM
SIN,LHR,07:10,UAL
PVG,SIN,07:35,AFL
ATL,MAD,05:35,SWR
SIN,FCO,12:05,DLH
FCO,MXP,10:35,IBE
ZRH,ORD,16:00,AFL
ATL,LAX,20:50,SWR
ORD,PEK,05:15,AAL
JFK,PVG,14:45,LOT
SIN,ZRH,21:40,AAL
ORD,LHR,16:05,AZA
ZRH,CDG,16:40,AEE
MXP,LAX,04:15,WZZ
MXP,AMS,02:20,WZZ
PVG,LHR,01:15,LOT
FCO,NRT,03:20,AEE
CDG,LHR,10:55,AFL
FCO,PVG,23:05,WZZ
CPT,PEK,18:45,IBE
PVG,NRT,15:15,AEE
CDG,ORD,00:15,WZZ
LAX,DXB,09:55,AZA
LAX,SIN,11:50,SWR
CPT,MAD,18:15,AFL
AMS,ZRH,15:10,FIN
MAD,FRA,12:20,LOT
DFW,ATL,19:40,AFL
HND,DXB,17:30,AEE
AMS,ZRH,07:25,AFL
DXB,CPT,22:50,ANA
LAX,NRT,10:40,DLH
AMS,MAD,06:50,DLH
MXP,PVG,14:55,IBE
PEK,DXB,22:55,UAL
PVG,CPT,02:35,UAL
LAX,JFK,17:35,AZA
DXB,CPT,23:05,AFR
FRA,LHR,11:55,KLM
SIN,LAX,01:45,LOT
CDG,LHR,13:40,AFL
CPT,DFW,20:40,AFL
DXB,ORD,20:15,ANA
ATL,PEK,23:45,RYR
HND,DFW,12:00,AFL
ZRH,PEK,12:35,AFR
FCO,ORD,05:30,UAL
ZRH,CDG,04:40,WZZ
PEK,LAX,20:50,DLH
SIN,PVG,03:35,AFR
ATL,HND,11:35,IBE
CDG,NRT,13:15,ANA
PEK,CPT,13:05,AZA
AMS,NRT,20:25,FIN
PEK,SIN,00:25,IBE
HND,FCO,00:55,SWR
NRT,DXB,13:40,AFR
MAD,ZRH,14:30,AFL
JFK,AMS,08:45,AFR
ATL,PEK,11:55,MAS
DFW,ATL,14:30,LOT
DXB,CDG,12:25,WZZ
SIN,HND,14:35,AZA
MAD,MXP,14:10,DLH
LHR,HND,18:40,FIN
MXP,DXB,09:45,AZA
MXP,FCO,03:25,AEE
FRA,SIN,11:15,LOT
DFW,FCO,11:40,UAL
CPT,ZRH,06:50,AEE
AMS,MAD,14:55,AEE
ATL,HND,12:10,AFL
FRA,AMS,00:20,BAW
CDG,JFK,21:45,AAL
SIN,PVG,21:40,DLH
ORD,FCO,21:15,WZZ
PEK,AMS,23:20,AFR
JFK,NRT,09:50,MAS
AMS,JFK,07:00,BAW
PVG,NRT,06:10,KLM
MAD,DXB,20:10,IBE
MXP,CDG,12:25,BAW
MAD,LAX,17:40,AAL
HND,JFK,18:50,AEE
LAX,PEK,13:25,UAL
LAX,DFW,19:00,AAL
ZRH,LAX,08:40,AFL
MXP,CDG,08:20,WZZ
MAD,CPT,17:20,IBE
DFW,CPT,17:35,AAL
MAD,JFK,19:20,SWR
SIN,ZRH,13:10,WZZ
FRA,PVG,08:20,ANA
SIN,DFW,02:45,FIN
SIN,MAD,15:10,ANA
PEK,ZRH,03:20,SWR
JFK,MAD,10:15,SWR
CPT,FCO,13:25,AFL
FCO,CDG,15:00,IBE
MXP,PEK,02:15,UAL
HND,FCO,15:00,AAL
CPT,ZRH,07:30,SWR
SIN,DFW,12:20,AEE
LAX,ATL,06:35,AFR
NRT,CPT,01:20,UAL
FRA,HND,00:35,SWR
LAX,MAD,09:10,AEE
MXP,ATL,06:00,IBE
NRT,FRA,16:05,DLH
CPT,MAD,18:45,AFR
CDG,DXB,11:45,BAW
NRT,PEK,17:10,UAL
PEK,DXB,22:45,BAW
AMS,PEK,17:40,DLH
HND,PEK,07:30,AAL
ZRH,ORD,07:55,BAW
HND,CPT,04:55,DLH
FRA,PVG,08:10,DLH
HND,MXP,04:10,LOT
LAX,ORD,23:00,LOT
HND,MAD,14:00,AFL
CDG,PEK,10:05,AFL
PVG,FRA,09:25,MAS
JFK,MAD,01:45,AFR
CDG,PVG,10:15,KLM
FRA,AMS,03:10,RYR
SIN,MXP,06:05,IBE
CPT,AMS,19:45,FIN
NRT,MXP,01:15,DLH
ZRH,JFK,10:15,DLH
ATL,NRT,10:40,UAL
DXB,MXP,19:25,AFR
LAX,ZRH,16:05,AAL
MAD,PEK,13:35,BAW
CDG,ORD,12:10,WZZ
LAX,ORD,20:15,AAL
HND,LHR,12:40,MAS
NRT,CDG,18:25,AAL
LHR,FCO,19:35,AZA
DFW,ORD,10:40,LOT
ATL,ZRH,10:20,FIN
DFW,CPT,07:20,WZZ
MAD,FCO,00:20,IBE
FRA,PVG,01:45,AZA
CPT,LHR,09:45,KLM
FRA,ORD,20:10,WZZ
CDG,FRA,11:25,IBE
LHR,DFW,06:10,AFR
JFK,ORD,05:15,BAW
MXP,ZRH,14:45,AZA
HND,MAD,07:05,KLM
PEK,FRA,07:15,UAL
FCO,PVG,02:40,BAW
ATL,CDG,02:45,RYR
NRT,FRA,18:00,FIN
DFW,CDG,16:10,ANA
CPT,AMS,10:45,ANA
FRA,PEK,04:55,RYR
NRT,DXB,12:40,MAS
LAX,FRA,16:10,FIN
DXB,HND,03:40,MAS
FCO,FRA,20:40,AFR
ATL,CPT,22:00,AAL
CPT,PEK,00:15,MAS
ATL,DXB,15:55,SWR
DFW,HND,09:20,AEE
HND,MXP,23:25,WZZ
SIN,DXB,12:20,AEE
AMS,LHR,03:05,MAS
LAX,HND,12:05,AZA
SIN,LAX,22:40,RYR
CDG,LHR,23:45,SWR
CDG,JFK,06:55,SWR
FCO,CPT,06:40,BAW
FRA,MXP,08:05,IBE
JFK,DFW,03:15,AFL
FRA,ZRH,21:10,ANA
NRT,LHR,11:50,AFR
ORD,DXB,03:55,SWR
CDG,ATL,04:40,AFL
DFW,CDG,17:55,AFR
PEK,LHR,08:00,LOT
ZRH,PEK,14:00,BAW
MAD,ATL,12:10,MAS
NRT,MXP,12:50,AFL
CPT,PVG,23:05,UAL
ORD,NRT,19:15,SWR
LAX,FRA,13:20,MAS
CPT,CDG,00:05,AEE
DFW,ORD,13:40,ANA
HND,MAD,10:00,DLH
SIN,ATL,16:30,BAW
MAD,CPT,02:50,FIN
JFK,CPT,10:25,RYR
LHR,ATL,13:10,MAS
JFK,FRA,18:30,BAW
CPT,AMS,09:45,ANA
DFW,FCO,12:35,AFR
FCO,DFW,07:00,MAS
ORD,PVG,11:05,AFL
PEK,PVG,14:45,BAW
HND,ORD,04:35,UAL
CDG,MAD,02:05,AAL
HND,LHR,01:50,AZA
DFW,NRT,06:35,MAS
DXB,ORD,04:00,SWR
MXP,LAX,04:00,ANA
PEK,SIN,03:45,BAW
NRT,DXB,09:10,SWR
LHR,PVG,23:50,MAS
FCO,FRA,15:30,SWR
DXB,MAD,07:55,WZZ
FRA,LHR,13:15,AFL
ZRH,MAD,08:05,AZA
NRT,MAD,12:05,UAL
MXP,FRA,22:00,LOT
FCO,MXP,16:55,KLM
CDG,LAX,15:10,AEE
ZRH,PVG,19:55,RYR
PVG,PEK,19:10,LOT
PVG,MAD,23:45,AEE
FRA,FCO,22:00,LOT
CDG,NRT,06:05,RYR
PVG,DXB,06:45,WZZ
LAX,ORD,20:35,AFL
MXP,CPT,16:20,WZZ
LAX,FRA,01:20,KLM
ORD,LAX,07:10,ANA
NRT,AMS,17:55,DLH
MAD,JFK,16:20,KLM
LAX,ZRH,03:25,BAW
ORD,NRT,00:15,WZZ
SIN,DXB,01:10,DLH
AMS,LAX,08:10,AFR
LAX,CPT,07:05,ANA
ATL,MAD,05:15,UAL
PEK,MXP,03:40,DLH
DFW,CPT,11:35,IBE
PEK,MAD,14:55,LOT
ATL,FRA,00:45,KLM
LAX,PVG,02:50,AZA
LHR,ATL,15:20,ANA
CPT,NRT,08:10,ANA
ORD,AMS,19:30,FIN
DFW,ORD,12:55,AZA
FRA,ZRH,15:50,BAW
DXB,CPT,15:10,RYR
PVG,ZRH,21:25,ANA
FCO,ATL,06:25,AAL
LHR,ZRH,01:10,ANA
ZRH,CDG,10:40,MAS
FRA,MAD,08:10,BAW
MXP,JFK,03:40,AFL
LAX,MAD,01:55,AEE
PEK,PVG,20:40,FIN
CDG,ATL,21:15,MAS
ATL,DFW,23:10,AZA
HND,LAX,05:50,AFL
FCO,ATL,14:30,KLM
PEK,FCO,20:40,DLH
ZRH,PEK,11:00,IBE
LAX,HND,07:00,IBE
MXP,LAX,01:45,RYR
CPT,DXB,19:25,AFR
CPT,SIN,15:45,DLH
SIN,CDG,11:40,SWR
FRA,CPT,22:35,AEE
FRA,NRT,09:50,KLM
HND,CDG,00:30,AEE
LAX,MAD,18:45,AFL
HND,MAD,03:10,DLH
AMS,FRA,01:30,MAS
DFW,HND,03:00,MAS
HND,ZRH,20:20,AFR
LHR,HND,19:00,UAL
CDG,CPT,09:05,UAL
LHR,MXP,11:45,AAL
PEK,CPT,07:10,AFR
PVG,PEK,10:00,MAS
CPT,ORD,17:05,AZA
ZRH,SIN,04:50,IBE
PEK,HND,17:00,RYR
ORD,PVG,10:35,AFR
HND,ATL,09:20,KLM
MAD,CDG,17:55,AAL
DFW,MAD,15:10,AFR
PEK,MAD,16:55,MAS
MAD,PEK,14:15,AFR
ATL,NRT,15:45,UAL
JFK,DFW,11:25,ANA
FCO,ORD,12:55,UAL
JFK,FCO,13:55,AFR
DXB,FRA,06:20,SWR
DFW,SIN,08:55,AFR
HND,CDG,17:45,BAW
ATL,MXP,09:05,LOT
NRT,MAD,18:20,RYR
DXB,SIN,01:45,AZA
DXB,LHR,20:35,AZA
ORD,PVG,06:00,SWR
AMS,ZRH,06:20,AZA
MXP,LHR,06:50,AFR
CPT,DXB,20:50,BAW
MAD,SIN,23:50,KLM
HND,MAD,06:55,AEE
SIN,MXP,07:50,RYR
FCO,CPT,19:40,WZZ
PVG,NRT,01:45,AEE
AMS,JFK,16:00,UAL
DFW,HND,17:20,SWR
FCO,SIN,08:50,UAL
AMS,DXB,17:15,FIN
FCO,ATL,00:00,AFL
PVG,ATL,06:20,AZA
HND,MXP,04:05,SWR
MXP,NRT,04:10,AFR
LHR,PEK,04:15,KLM
CDG,FCO,21:00,AFR
CDG,MXP,19:35,AZA
DFW,NRT,17:10,ANA
FRA,LAX,18:30,MAS
MXP,CDG,03:50,DLH
HND,JFK,06:35,ANA
LAX,CDG,03:15,RYR
DXB,SIN,00:10,BAW
LHR,HND,21:20,SWR
HND,MXP,23:35,WZZ
NRT,LAX,13:30,UAL
AMS,LAX,07:25,IBE
CDG,DXB,21:45,WZZ
HND,LAX,12:50,AFR
DXB,JFK,12:30,WZZ
DXB,ORD,00:15,BAW
LHR,NRT,13:30,AAL
DXB,DFW,03:05,DLH
FCO,AMS,23:40,BAW
LHR,NRT,12:00,RYR
ZRH,MAD,03:15,MAS
FRA,DFW,06:25,FIN
LHR,MXP,22:35,AEE
LHR,MXP,05:10,SWR
DFW,CPT,11:10,FIN
MAD,LHR,03:50,BAW
PVG,MXP,02:55,MAS
JFK,DFW,05:25,LOT
CDG,FRA,12:15,SWR
LAX,AMS,06:20,RYR
MXP,FRA,09:00,BAW
PVG,HND,10:10,KLM
DFW,PEK,19:45,WZZ
PEK,DXB,00:55,ANA
DXB,NRT,11:50,FIN
MXP,PEK,22:05,KLM
ORD,DXB,14:35,MAS
DFW,HND,05:05,AAL
FCO,FRA,07:45,AFR
DFW,MAD,00:05,AFR
NRT,LAX,22:55,AEE
JFK,DFW,06:05,ANA
ATL,HND,11:45,AFL
ZRH,LHR,14:15,RYR
FRA,ATL,14:05,BAW
ZRH,AMS,14:05,SWR
PVG,CDG,20:05,BAW
SIN,AMS,16:30,AEE
ORD,MXP,09:40,AAL
HND,ATL,06:45,AAL
HND,CPT,18:05,UAL
MAD,JFK,21:00,KLM
DXB,AMS,05:45,MAS
LHR,MAD,06:40,ANA
LHR,CDG,09:55,BAW
SIN,FCO,13:45,RYR
NRT,MAD,15:55,BAW
ZRH,LHR,06:40,MAS
FCO,PVG,12:35,AEE
SIN,ATL,04:40,AAL
HND,DFW,05:05,ANA
CDG,NRT,08:10,AZA
ZRH,DXB,12:55,LOT
FRA,AMS,06:20,AEE
ZRH,PEK,11:05,KLM
LHR,PVG,18:55,WZZ
ORD,MXP,22:05,ANA
LHR,DXB,11:55,BAW
DXB,AMS,15:05,AFR
ORD,FRA,19:00,RYR
CPT,MXP,23:10,RYR
CPT,LHR,15:35,AEE
ATL,LHR,22:15,LOT
LAX,MAD,00:00,BAW
SIN,MXP,05:40,IBE
LAX,CPT,05:15,RYR
CPT,FRA,17:05,AFR
PVG,ORD,07:55,IBE
PEK,FCO,00:45,SWR
CPT,CDG,06:05,BAW
FCO,SIN,02:10,ANA
AMS,MXP,19:20,AFR
NRT,ZRH,03:20,SWR
DXB,DFW,09:35,ANA
HND,PEK,10:15,SWR
LHR,LAX,01:35,AFR
LAX,PEK,10:40,IBE
MXP,MAD,02:40,AFL
CPT,JFK,13:40,ANA
MXP,LHR,06:00,KLM
AMS,PVG,06:55,ANA
HND,JFK,03:40,LOT
CPT,ZRH,08:40,AEE
MXP,NRT,08:45,KLM
ATL,FCO,02:10,WZZ
DXB,PVG,02:15,LOT
LAX,LHR,20:05,FIN
JFK,ATL,05:20,AEE
SIN,AMS,11:45,DLH
HND,DXB,11:00,BAW
ZRH,NRT,17:00,WZZ
ZRH,LAX,22:00,WZZ
PEK,CDG,15:20,KLM
LHR,CDG,14:50,AFL
CPT,PVG,13:55,WZZ
AMS,FCO,01:25,DLH
SIN,MXP,05:20,AEE
CPT,LAX,17:30,KLM
JFK,PVG,21:55,ANA
ATL,ORD,23:45,LOT
LAX,DXB,12:05,SWR
LAX,DXB,13:15,BAW
JFK,MAD,22:30,AAL
MAD,DXB,03:35,AAL
DFW,MXP,22:45,SWR
ORD,CPT,11:40,AAL
CPT,PEK,14:20,AEE
LAX,AMS,00:20,SWR
AMS,HND,03:05,AFR
ORD,FCO,17:20,ANA
HND,PEK,23:30,AEE
ZRH,SIN,19:55,AAL
AMS,CPT,04:45,AFR
CPT,FCO,08:50,UAL
ZRH,DFW,17:45,SWR
MXP,AMS,22:20,AFL
LAX,FRA,01:05,AZA
ATL,NRT,21:50,UAL
HND,FCO,01:00,ANA
MAD,DXB,00:10,LOT
DXB,FRA,01:55,AAL
FCO,SIN,21:15,IBE
DFW,LHR,17:50,AEE
LHR,ORD,21:55,RYR
ATL,PVG,05:55,SWR
LAX,DXB,02:20,LOT
LAX,AMS,08:00,BAW
NRT,FRA,20:55,AZA
ORD,DXB,12:05,LOT
PEK,DXB,08:50,AFL
MXP,DFW,13:10,FIN
FCO,NRT,02:45,DLH
ORD,SIN,11:25,AEE
AMS,ZRH,13:35,AFR
PVG,LHR,17:35,RYR
LHR,ATL,23:00,SWR
ATL,PVG,17:10,FIN
SIN,HND,08:25,ANA
SIN,JFK,17:55,WZZ
LHR,AMS,23:00,AEE
FRA,DFW,16:35,AEE
HND,ZRH,01:00,AEE
FCO,SIN,11:30,AFR
HND,AMS,04:50,AAL
NRT,PEK,15:45,MAS
MXP,SIN,14:55,AEE
DXB,CDG,13:35,SWR
DXB,NRT,15:10,LOT
SIN,JFK,13:10,UAL
MXP,PVG,13:00,LOT
PEK,LHR,23:50,LOT
DFW,FCO,17:20,WZZ
ZRH,SIN,19:35,IBE
